,MSE,MAE,R2,RMSE,feature_engineering_applied,lagged,scaled,normalized,simple_short_lag,simple_medium_lag,simple_seasonal_lag,rolling_short,rolling_medium,feature_engineering,scaler,normalizer,model,model_family
0,5.652146518025733,1.8274596443249376,0.3210495790194715,2.3774243453842505,1,0,1,1,0,0,0,0,0,PolynomialFeatures,StandardScaler,Normalizer,LinearRegression,Linear
1,5.769405979114066,1.8582886548879003,0.3069640700511579,2.4019587796450765,1,0,1,1,0,0,0,0,0,PolynomialFeatures,StandardScaler,Normalizer,Lasso,Linear
2,1.8367924180847808,1.027440046976421,0.779401062997312,1.355283150520503,1,1,1,1,1,0,0,0,0,PolynomialFeatures,StandardScaler,Normalizer,LinearRegression,Linear
3,2.004849994468639,1.0699543635559523,0.7592173327398758,1.4159272560653104,1,1,1,1,1,0,0,0,0,PolynomialFeatures,StandardScaler,Normalizer,Lasso,Linear
4,1.8536591727173397,1.0334225870014289,0.7771893915579562,1.361491525025896,1,1,1,1,1,1,1,0,0,PolynomialFeatures,StandardScaler,Normalizer,LinearRegression,Linear
5,2.028788589716878,1.0771454391933069,0.7561387623311357,1.4243554997671326,1,1,1,1,1,1,1,0,0,PolynomialFeatures,StandardScaler,Normalizer,Lasso,Linear
6,1.890362509220564,1.0446701699236598,0.7727776351474461,1.3749045454941824,1,1,1,1,1,1,1,1,1,PolynomialFeatures,StandardScaler,Normalizer,LinearRegression,Linear
7,2.069363560741075,1.0879311855836384,0.7512616338306645,1.4385282620585091,1,1,1,1,1,1,1,1,1,PolynomialFeatures,StandardScaler,Normalizer,Lasso,Linear
8,2.2049789494009624,1.1277091413924298,0.7351860391668608,1.4849171523694389,1,1,1,1,0,0,0,1,0,PolynomialFeatures,StandardScaler,Normalizer,LinearRegression,Linear
9,2.366813681265781,1.164974989980144,0.71574998225705,1.538445215555556,1,1,1,1,0,0,0,1,0,PolynomialFeatures,StandardScaler,Normalizer,Lasso,Linear
10,1.883554624156176,1.0433446349051227,0.7736186464562909,1.3724265459966063,1,1,1,1,1,1,0,1,1,PolynomialFeatures,StandardScaler,Normalizer,LinearRegression,Linear
11,2.087442266762473,1.092895013422842,0.7491137237361825,1.4447983481311408,1,1,1,1,1,1,0,1,1,PolynomialFeatures,StandardScaler,Normalizer,Lasso,Linear
